"ID","Type","Name","Documentation","Source","Target","Specialization"
"14293","AccessRelationship","","","14162","14288",""
"14509","AccessRelationship","","","12914","10796",""
"14512","AccessRelationship","","","12917","10800",""
"14510","AccessRelationship","","","12916","10800",""
"14508","AccessRelationship","","","12913","10794",""
"13747","AccessRelationship","","","10835","10798",""
"6208","AccessRelationship","","","6186","6195",""
"14574","AccessRelationship","","","10835","10794",""
"10942","AccessRelationship","","","10822","10800",""
"10945","AccessRelationship","","","10811","10800",""
"14130","AccessRelationship","","","13873","14074",""
"6593","AccessRelationship","","","6186","6565",""
"10941","AccessRelationship","","","10821","10804",""
"6211","AccessRelationship","","","6176","6194",""
"14126","AccessRelationship","","","10785","14074",""
"14041","AccessRelationship","","","10784","14025",""
"14131","AccessRelationship","","","13874","14074",""
"14581","AccessRelationship","","","10828","14539",""
"10957","AccessRelationship","","","10827","10801",""
"10927","AccessRelationship","","","10818","10794",""
"14042","AccessRelationship","","","13874","14025",""
"6209","AccessRelationship","","","6184","6195",""
"14129","AccessRelationship","","","10789","14074",""
"14582","AccessRelationship","","","10827","14539",""
"6594","AccessRelationship","","","6176","6565",""
"10928","AccessRelationship","","","10812","10797",""
"14127","AccessRelationship","","","10784","14074",""
"18168","AccessRelationship","","","17691","14072",""
"6798","AccessRelationship","","","6651","6736",""
"14575","AccessRelationship","","","10835","10799",""
"14123","AccessRelationship","","","13873","14025",""
"6596","AccessRelationship","","","6186","6566",""
"6590","AccessRelationship","","","6177","6562",""
"10946","AccessRelationship","","","10810","10794",""
"10933","AccessRelationship","","","10814","10803",""
"6205","AccessRelationship","","","6177","6193",""
"6591","AccessRelationship","","","6176","6564",""
"10899","AccessRelationship","","","10843","10794",""
"6796","AccessRelationship","","","6650","6734",""
"10961","AccessRelationship","","","10828","10806",""
"10921","AccessRelationship","","","10839","10798",""
"10925","AccessRelationship","","","10818","10802",""
"6595","AccessRelationship","","","6184","6566",""
"10987","AccessRelationship","","","10816","10800",""
"10959","AccessRelationship","","","10825","10805",""
"10906","AccessRelationship","","","10842","10794",""
"6795","AccessRelationship","","","6654","6733",""
"10901","AccessRelationship","","","10844","10795",""
"10931","AccessRelationship","","","10811","10801",""
"10898","AccessRelationship","","","10839","10797",""
"10935","AccessRelationship","","","10816","10794",""
"10929","AccessRelationship","","","10812","10794",""
